DATETIME,REGIONID,FORECASTDEMAND,PREDISPATCHSEQNO,PERIODID,LASTCHANGED
2021-01-01 00:00:00,NSW1,6890.59,2020123018,71,2020-12-30 12:31:48
2021-01-01 00:00:00,NSW1,6890.14,2020123019,70,2020-12-30 13:01:58
2021-01-01 00:00:00,NSW1,6881.03,2020123020,69,2020-12-30 13:31:44
2021-01-01 00:00:00,NSW1,6892.46,2020123021,68,2020-12-30 14:01:43
2021-01-01 00:00:00,NSW1,6890.97,2020123022,67,2020-12-30 14:31:57
2021-01-01 00:00:00,NSW1,6896.71,2020123023,66,2020-12-30 15:01:49
2021-01-01 00:00:00,NSW1,6895.54,2020123024,65,2020-12-30 15:31:42
2021-01-01 00:00:00,NSW1,6894.23,2020123025,64,2020-12-30 16:01:51
2021-01-01 00:00:00,NSW1,6894.0,2020123026,63,2020-12-30 16:31:41
2021-01-01 00:00:00,NSW1,6900.19,2020123027,62,2020-12-30 17:01:49
